RSI,ULTOSC,STOCHRSI,+DI,-DI,ROC,PD,CHANGE
44.8158,44.9802,26.4374,20.6796,21.1539,-0.0419,-0.2,0
38.8919,33.5991,45.7092,13.3882,22.0648,0.0239,-0.2,1
48.5826,48.17,45.1964,18.8923,15.7589,0.353,0.2,1
57.0643,52.0339,76.9551,19.0992,11.8532,0.4525,0.2,1
57.3554,47.8272,80.0957,20.4384,10.9148,0.1732,-0.2,1
51.5628,52.1359,28.9479,21.2091,16.634,0.149,0.2,1
58.9839,51.1792,86.2719,22.3898,12.4576,0.1515,0.6,1
58.3236,54.4653,52.6745,21.3338,9.1147,0.2171,0.2,1
63.2752,62.678,83.9964,24.3789,12.7574,0.1963,0.6,0
45.2419,60.2797,5.4948,20.4911,15.3416,-0.0532,-0.2,1
41.6588,49.1716,48.2707,19.128,23.5971,-0.1617,-0.2,1
66.7658,79.7094,76.3708,35.1551,15.8506,0.5004,0.2,1
50.7167,45.5103,8.2398,30.3947,22.6706,0.2425,-0.2,1
53.6163,54.7663,39.5049,31.9267,19.242,-0.0726,-0.2,1
55.6557,56.7646,56.2088,28.2307,17.7328,0.2531,0.2,0
52.4637,44.7967,28.4781,22.1629,15.0692,0.0562,-0.2,1
51.4138,48.3741,46.2083,19.926,14.1492,0.0273,0.6,0
51.1428,48.7816,33.7901,18.9558,13.6755,0.0402,-0.2,1
38.2071,47.556,13.2694,17.5302,30.7698,-0.2665,0.2,1
47.6252,48.6938,52.9844,19.1399,22.2695,0.0135,0.2,0
37.2218,36.4739,2.5917,14.1087,24.7859,-0.0214,-0.2,1
44.5197,61.4461,85.3835,11.8734,22.1064,-0.1355,-0.2,1
59.3513,65.3268,100.0,17.9421,20.7836,0.4589,0.6,1
51.6469,55.4028,13.8054,21.9695,26.3203,0.2531,0.2,1
55.2754,45.466,26.1493,22.086,16.5794,0.3822,-0.2,1
57.9362,54.6375,40.068,24.0327,16.4244,0.0579,0.2,0
56.2061,41.5695,30.5303,22.6134,14.7475,0.1138,0.2,1
43.3346,29.3697,6.02,20.4811,19.747,-0.0839,-0.2,1
57.745,50.9435,55.8674,22.5172,14.7904,0.1504,0.6,0
49.7161,36.8542,21.5276,20.205,14.8185,0.0788,-0.2,0
48.2926,41.2379,62.8274,16.213,16.8151,-0.1966,0.2,0
48.9862,42.6232,41.4147,17.8742,11.8878,0.0193,0.6,1
47.7789,43.4361,48.2596,14.541,12.8011,0.0392,0.2,0
49.8761,49.4068,27.5262,20.4054,14.0524,0.0647,0.2,1
38.3273,39.8571,7.0904,18.0419,21.3717,-0.1836,-0.2,1
49.6657,44.0675,51.4799,19.0658,22.0241,-0.0392,-0.6,1
45.8949,37.3814,8.2354,24.6549,20.3255,0.0567,-0.6,1
48.5915,37.4428,21.6815,23.7987,21.2694,-0.0056,-0.6,1
59.9028,55.2573,96.6838,23.9506,23.0612,0.2475,0.6,0
57.8728,53.3991,55.546,26.4375,21.1683,0.1382,0.2,0
39.2147,40.0883,27.8685,16.1462,27.8843,-0.2656,-0.6,1
33.9418,28.9566,3.0437,14.8928,26.3266,-0.502,-0.6,1
48.8571,47.1492,92.6503,14.9244,19.3798,0.0842,-0.2,0
57.1601,55.8474,80.4544,20.6113,17.1412,0.2272,-0.2,0
50.8769,58.6741,75.6542,17.8803,23.4851,-0.1556,0.2,0
50.128,54.6811,80.0819,18.2921,21.7731,0.0123,0.6,1
42.8154,57.6217,31.1877,18.5286,30.503,-0.0671,0.2,0
62.1128,61.7639,87.6446,29.5815,24.0974,0.2339,-0.2,0
44.8595,48.0444,41.5524,22.4635,29.4488,0.0079,0.2,0
41.8071,50.0865,37.6025,20.336,27.0977,-0.5863,-0.2,0
35.3423,48.0381,71.2473,16.3774,32.3971,-0.5261,0.2,1
33.2779,51.0989,52.5688,15.0348,33.9534,-0.6946,0.2,1
58.0598,53.5477,99.8754,20.1871,22.1334,0.4205,0.6,1
67.1299,58.1216,93.3974,25.546,19.995,0.6215,0.6,1
71.419,61.6574,69.0892,30.9986,13.2238,0.59,-0.2,1
81.1683,71.8562,86.7396,31.5863,12.2221,0.7863,0.6,1
70.0712,55.8166,82.6226,27.3371,13.8126,0.0003,0.2,0
68.9785,61.6031,95.9131,26.5036,14.0075,0.081,0.6,0
58.187,44.1137,27.9739,20.4752,12.9688,-0.0532,-1.0,0
44.8148,31.2521,8.9393,18.3484,15.5936,-0.1447,-0.6,0
44.4659,33.1657,82.1799,12.1322,19.0038,-0.0982,0.0,0
38.6446,37.8623,42.386,11.2537,19.4116,-0.173,0.0,0
42.1753,37.8003,61.4073,13.3424,24.9262,-0.1918,-0.2,0
50.8055,41.433,92.4897,13.0941,21.7507,-0.1598,0.6,0
27.4096,26.0424,0.3566,11.1288,27.0247,-0.2774,-0.6,0
26.7845,30.0026,19.6322,10.9891,27.1536,-0.3254,-1.0,0
36.3086,47.3376,44.0562,12.6214,28.5086,-0.1614,-0.2,0
28.7565,44.9495,14.2532,13.3079,29.1295,-0.3251,-0.6,0
38.0821,39.6872,67.5053,15.914,25.2069,-0.1907,0.6,0
39.1939,42.03,69.8472,16.6406,23.7644,-0.0169,0.2,0
39.8167,51.5496,48.0359,17.8997,26.9471,-0.1423,-0.6,0
26.0902,45.3368,12.6775,14.4416,35.3062,-0.5089,-0.6,1
51.3505,53.5628,70.6521,14.3138,22.0652,-0.1279,0.2,1
45.4476,48.369,22.873,13.5573,21.9713,0.0697,-0.2,1
51.5161,41.723,61.7863,16.9581,19.6506,0.0345,0.2,1
47.7888,44.5356,45.378,15.4074,21.6197,0.1661,-0.2,1
